app_name,store,store_count,highest_price,purchase_price,earning_per_month,apps_genre,avg_ratings,lifespan_years,profit
ASOS,bothstores,2,0,10000,10000,1000,5,11,1178000
Domino's Pizza USA,bothstores,2,0,10000,10000,1000,5,11,1178000
"Egg, Inc.",bothstores,2,0,10000,10000,1000,5,11,1178000
Geometry Dash Lite,bothstores,2,0,10000,10000,1000,5,11,1178000
PewDiePie's Tuber Simulator,bothstores,2,0,10000,10000,1000,5,11,1178000
The Guardian,bothstores,2,0,10000,10000,1000,5,11,1178000
Cytus,bothstores,2,1.99,20000,10000,1000,5,11,1168000
The EO Bar,bothstores,2,6.99,70000,10000,1000,5,11,1118000
aa,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Adobe Illustrator Draw,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Afterlight,bothstores,2,0.99,10000,10000,1000,4.5,10,1070000
Agar.io,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Angry Birds 2,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Angry Birds Blast,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Angry Birds Epic RPG,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Angry Birds Rio,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Angry Birds Space HD,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Angry Birds Star Wars,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Animal Jam - Play Wild!,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Army of Heroes,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Asphalt 8: Airborne,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Bad Piggies,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Bad Piggies HD,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Bejeweled Classic,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Bible,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Boom Beach,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Bullet Force,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Call of Duty®: Heroes,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Candy Crush Saga,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Candy Crush Soda Saga,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Chase Mobile,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Choices: Stories You Play,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Clash of Clans,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Clash Royale,bothstores,2,0,10000,10000,1000,4.5,10,1070000
ClassDojo,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Cooking Fever,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Deck Heroes: Legacy,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Design Home,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Discord - Chat for Gamers,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Disney Crossy Road,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Doodle Jump,bothstores,2,0.99,10000,10000,1000,4.5,10,1070000
DoorDash - Food Delivery,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Dubsmash,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Dude Perfect,bothstores,2,0.99,10000,10000,1000,4.5,10,1070000
Dude Perfect 2,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Endless Ducker,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Episode - Choose Your Story,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Fallout Shelter,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Fandango Movies - Times + Tickets,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Farm Heroes Saga,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Farming Simulator 14,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Fernanfloo,bothstores,2,0,10000,10000,1000,4.5,10,1070000
FINAL FANTASY BRAVE EXVIUS,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Fishdom,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Flow Free,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Frozen Free Fall,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Fruit Ninja®,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Fuel Rewards® program,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Gear.Club - True Racing,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Geometry Dash Meltdown,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Geometry Dash World,bothstores,2,0,10000,10000,1000,4.5,10,1070000
GMX Mail,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Google Docs,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Google Sheets,bothstores,2,0,10000,10000,1000,4.5,10,1070000
GroupMe,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Hay Day,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Hill Climb Racing,bothstores,2,0,10000,10000,1000,4.5,10,1070000
Hill Climb Racing 2,bothstores,2,0,10000,10000,1000,4.5,10,1070000
