"app_name","profit"
"ASOS","1178000.00"
"Domino's Pizza USA","1178000.00"
"Egg, Inc.","1178000.00"
"Geometry Dash Lite","1178000.00"
"PewDiePie's Tuber Simulator","1178000.00"
"The Guardian","1178000.00"
"Cytus","1168000.00"
"The EO Bar","1118000.00"
"aa","1070000.00"
"Adobe Illustrator Draw","1070000.00"
"Afterlight","1070000.00"
"Agar.io","1070000.00"
"Angry Birds 2","1070000.00"
"Angry Birds Blast","1070000.00"
"Angry Birds Epic RPG","1070000.00"
"Angry Birds Rio","1070000.00"
"Angry Birds Space HD","1070000.00"
"Angry Birds Star Wars","1070000.00"
"Animal Jam - Play Wild!","1070000.00"
"Army of Heroes","1070000.00"
"Asphalt 8: Airborne","1070000.00"
"Bad Piggies","1070000.00"
"Bad Piggies HD","1070000.00"
"Bejeweled Classic","1070000.00"
"Bible","1070000.00"
"Boom Beach","1070000.00"
"Bullet Force","1070000.00"
"Call of Duty®: Heroes","1070000.00"
"Candy Crush Saga","1070000.00"
"Candy Crush Soda Saga","1070000.00"
"Chase Mobile","1070000.00"
"Choices: Stories You Play","1070000.00"
"Clash of Clans","1070000.00"
"Clash Royale","1070000.00"
"ClassDojo","1070000.00"
"Cooking Fever","1070000.00"
"Deck Heroes: Legacy","1070000.00"
"Design Home","1070000.00"
"Discord - Chat for Gamers","1070000.00"
"Disney Crossy Road","1070000.00"
"Doodle Jump","1070000.00"
"DoorDash - Food Delivery","1070000.00"
"Dubsmash","1070000.00"
"Dude Perfect","1070000.00"
"Dude Perfect 2","1070000.00"
"Endless Ducker","1070000.00"
"Episode - Choose Your Story","1070000.00"
"Fallout Shelter","1070000.00"
"Fandango Movies - Times + Tickets","1070000.00"
"Farm Heroes Saga","1070000.00"
"Farming Simulator 14","1070000.00"
"Fernanfloo","1070000.00"
"FINAL FANTASY BRAVE EXVIUS","1070000.00"
"Fishdom","1070000.00"
"Flow Free","1070000.00"
"Frozen Free Fall","1070000.00"
"Fruit Ninja®","1070000.00"
